Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
Archbishop,Http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Old-fashioned Glass,Gin,,,,,,,Wine,Benedictine,Lime,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.","Archbishop: A warm and aromatic cocktail made with red wine, orange juice, and spices, often enjoyed during the colder months.",ml,60,ml,30,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arctic Fish,Http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Beer Pilsner,Vodka,,,,,,,Grape Soda,Orange Juice,Ice,Candy,,,,,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.","Arctic Fish: A vibrant blue cocktail made with blue curaçao, vodka, and lemon-lime soda, providing a cool and refreshing taste.",part, 1/3,part, 1/3,part, 1/3,, ,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arctic Mouthwash,Http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,Cocktail Glass,Maui,,,,,,,Mountain Dew,Ice,,,,,,,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,"Arctic Mouthwash: A refreshing blend of peppermint schnapps, blue curaçao, and lemon-lime soda, reminiscent of a breath-freshening experience.",ml,150,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arise My Love,Http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Champagne Flute,Champagne,,,,,,,Green Creme De Menthe,,,,,,,,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,"Arise My Love: A romantic cocktail that combines amaretto liqueur, peach schnapps, and orange juice, creating a sweet and fruity beverage.",, ,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arizona Antifreeze,Http://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg,Shot Glass,Vodka,,,,,,,Midori Melon Liqueur,Sweet And Sour,,,,,,,Pour all ingredients into shot glass and slam !!!!,"Arizona Antifreeze: A bold and vibrant cocktail made with vodka, melon liqueur, and sweet and sour mix, known for its neon green color.",ml,10,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arizona Stingers,Http://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,Hurricane Glass,Absolut Vodka,,,,,,,Iced Tea,,,,,,,,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,"Arizona Stingers: A bold and boozy combination of bourbon and peppermint schnapps, offering a strong and minty flavor with a kick.",ml,60,ml,360,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arizona Twister,Http://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg,Hurricane Glass,Vodka,,,,,,,Malibu Rum,Gold Tequila,Orange Juice,Pineapple Juice,Cream Of Coconut,Grenadine,Ice,Pineapple,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.","Arizona Twister: A tropical cocktail that blends rum, amaretto liqueur, orange juice, and pineapple juice, creating a whirlwind of fruity flavors.",ml,30,ml,30,ml,30,ml,1,ml,1,ml,1,ml,1,, ,wedge , 1,, ,, ,, ,, ,, ,, 
Army Special,Http://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Cocktail Glass,Vodka,,,,,,,Gin,Lime Juice Cordial,Ice,,,,,,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.","Army Special: A potent and robust cocktail made with rum, gin, vodka, tequila, and various fruit juices, delivering a powerful punch.",ml,30,ml,30,ml,45,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Arthur Tompkins,Http://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,Whiskey Sour Glass,Gin,,,,,,,Grand Marnier,Lemon Juice,Lemon Peel,,,,,,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.","Arthur Tompkins: A sophisticated cocktail featuring brandy, apple brandy, and orange liqueur, offering a rich and smooth taste.",ml,60,ml,15,ml,10,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Artillery,Http://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Gin,Bitters,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","Artillery: A classic cocktail that combines gin, sweet vermouth, and orange bitters, known for its strong and complex flavor profile.",ml,7.5,ml,45,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Artillery Punch,Http://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,Punch Bowl,Tea,,,,,,,Rye Whiskey,Red Wine,Rum,Brandy,Benedictine,Orange Juice,Lemon Juice,,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel.","Artillery Punch: A festive and punchy concoction made with various spirits, fruit juices, and spices, traditionally enjoyed during celebrations.",ml,950,ml,950,ml,200,ml,568,ml,284,ml,45,ml,568,ml,284,, ,, ,, ,, ,, ,, ,, 
Atlantic Sun,Http://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Collins Glass,Vodka,,,,,,,Southern Comfort,Passion Fruit Syrup,Sweet And Sour,Club Soda,,,,,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.","Atlantic Sun: A refreshing and fruity drink made with rum, pineapple juice, orange juice, and grenadine, evoking the flavors of a tropical paradise.",ml,20,ml,20,ml,20,ml,60,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Atomic Lokade,Http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Collins Glass,Lemonade,,,,,,,Vodka,Blue Curacao,Triple Sec,Sugar,Ice,,,,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste","Atomic Lokade: A vibrant and energizing cocktail that combines vodka, blue curaçao, and lemonade, creating a neon-colored drink with a zesty twist.",ml,150,ml,30,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Auburn Headbanger,Http://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg,Shot Glass,Jägermeister,,,,,,,Goldschlager,,,,,,,,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!,"Auburn Headbanger: A bold and intense cocktail made with bourbon, amaretto liqueur, and cranberry juice, offering a balance of sweetness and richness.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Autodafé,Http://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Highball Glass,Vodka,,,,,,,Lime Juice,Soda Water,,,,,,,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,"Autodafé: A fiery and exotic cocktail that blends tequila, banana liqueur, lime juice, and hot sauce, providing a spicy and adventurous experience.",ml,40,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Avalanche,Http://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,Highball Glass,Crown Royal,,,,,,,Kahlua,Cream,,,,,,,"Mix in highball glass over ice, shake well.","Avalanche: A creamy and indulgent cocktail featuring Kahlúa, Bailey's Irish Cream, and cream, offering a smooth and velvety treat.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Avalon,Http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Highball Glass,Vodka,,,,,,,Pisang Ambon,Apple Juice,Lemon Juice,Lemonade,,,,,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Avalon: A sophisticated and fruity cocktail made with gin, apple brandy, lemon juice, and grenadine, creating a balanced and elegant drink.",part, 3,part, 1,part, 6,part,1 1/2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Aviation,Http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Cocktail Glass,Gin,,,,,,,Lemon Juice,Maraschino Liqueur,,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,"Aviation: A classic gin-based cocktail that combines gin, maraschino liqueur, crème de violette, and lemon juice, known for its floral and citrusy notes.",ml,50,ml,50,ml,50,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Aztec Punch,Http://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,Punch Bowl,Lemonade,,,,,,,Vodka,Rum,Ginger Ale,,,,,,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.","Aztec Punch: A bold and spicy punch made with rum, orange juice, lime juice, grenadine, and a touch of hot sauce, offering a complex flavor profile.",ml,330,ml,150,ml,210,ml,500,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
B-52,Http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Shot Glass,Bailey's Irish Cream,,,,,,,Grand Marnier,Kahlua,,,,,,,Layer ingredients into a shot glass. Serve with a stirrer.,"B-52: A layered shooter that combines Kahlúa, Baileys Irish Cream, and Grand Marnier, creating a visually stunning and flavorful combination.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
B-53,Http://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Collins Glass,Kahlua,,,,,,,Sambuca,Grand Marnier,,,,,,,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","B-53: A variation of the B-52 shooter that adds amaretto liqueur to the mix, offering an extra layer of almond-flavored richness.",ml,10,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Baby Eskimo,Http://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,Collins Glass,Kahlua,,,,,,,Milk,Vanilla Ice-cream,,,,,,,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.","Baby Eskimo: A delightful and creamy cocktail made with vanilla ice cream, Kahlúa, and white crème de cacao, perfect for indulging your sweet tooth.",ml,60,ml,240,ml,100,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Baby Guinness,Http://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg,Shot Glass,Kahlua,,,,,,,Bailey's Irish Cream,,,,,,,,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head"".","Baby Guinness: A fun and visually appealing shooter that combines coffee liqueur and Irish cream, creating the illusion of a miniature pint of Guinness.",ml,75,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bacardi Cocktail,Http://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,Cocktail Glass,Light Rum,,,,,,,Lime Juice,Sugar Syrup,Grenadine,,,,,,Shake together with ice. Strain into glass and serve.,"Bacardi Cocktail: A classic rum-based cocktail that combines white rum, lime juice, grenadine, and a dash of Angostura bitters, offering a balanced and refreshing taste.",ml,52.5,ml,30,ml,2.5,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bailey's Dream Shake,Http://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg,Collins Glass,Bailey's Irish Cream,,,,,,,Vanilla Ice-cream,Cream,,,,,,,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,"Bailey's Dream Shake: A dreamy and decadent milkshake made with Bailey's Irish Cream, chocolate ice cream, and milk, providing a creamy and indulgent treat.",ml,60,ml,100,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Balmoral,Http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Cocktail Glass,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Balmoral: A sophisticated cocktail featuring Scotch whisky, sweet vermouth, and a dash of orange bitters, offering a rich and smoky flavor profile.",ml,45,ml,15,ml,15,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Banana Cantaloupe Smoothie,Http://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg,Highball Glass,Cantaloupe,,,,,,,Banana,,,,,,,,"Juice cantaloupe, pour juice into blender, add banana, and liquify.","Banana Cantaloupe Smoothie: A refreshing and fruity smoothie made with bananas, cantaloupe, yogurt, and a touch of honey, providing a nutritious and tasty beverage.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Banana Daiquiri,Http://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Champagne Flute,Light Rum,,,,,,,Triple Sec,Banana,Lime Juice,Sugar,Cherry,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"Banana Daiquiri: A fruity, tropical cocktail made with rum, banana liqueur, and lime juice.",ml,45,ml,15,, ,ml,45,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Banana Milk Shake,Http://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,White Wine Glass,Milk,,,,,,,Orange Juice,Sugar Syrup,Banana,,,,,,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana.","Banana Milk Shake: A sweet, creamy drink made with bananas and milk.",ml,100,ml,40,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Banana Strawberry Shake,Http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Highball Glass,Strawberries,,,,,,,Banana,Yoghurt,Milk,Honey,,,,,Blend all together in a blender until smooth.,"Banana Strawberry Shake: A refreshing shake made with bananas, strawberries, and milk.",ml,225,frozen , 1,ml,240,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Banana Strawberry Shake Daiquiri-type,Http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,Strawberries,,,,,,,Banana,Apple Juice,,,,,,,Blend all together in a blender until smooth.,"Banana Strawberry Shake Daiquiri-type: A blended cocktail made with rum, bananas, strawberries, and ice.",ml,225,frozen , 1,ml,480,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Barracuda,Http://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Margarita Glass,Rum,,,,,,,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Barracuda: A sweet, tropical cocktail made with dark rum, Galliano, pineapple juice, and lime juice.",ml,50,ml,50,ml,60,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Belgian Blue,Http://www.thecocktaildb.com/images/media/drink/rttsxw1441245419.jpg,Highball Glass,Vodka,,,,,,,Coconut Liqueur,Blue Curacao,Sprite,,,,,,Just pour all ingredients in the glass and stir...,"Belgian Blue: A blue cocktail made with blue curaçao, gin, and orange juice.",ml,20,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bellini,Http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne Flute,Champagne,,,,,,,Peach Schnapps,,,,,,,,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Bellini: A classic Italian cocktail made with Prosecco and peach puree.,ml,180,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bellini Martini,Http://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg,Cocktail Glass,Ice,,,,,,,Vodka,Peach Nectar,Peach Schnapps,Lemon Peel,,,,,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.","Bellini Martini: A modern twist on the classic Bellini made with vodka, peach schnapps, and Prosecco.",cubes , 8,ml,90,ml,150,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bermuda Highball,Http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Highball Glass,Brandy,,,,,,,Gin,Dry Vermouth,Carbonated Water,Lemon Peel,,,,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)","Bermuda Highball: A refreshing drink made with rum, ginger beer, and lime juice.",ml,22.5,ml,22.5,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Berry Deadly,Http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg,Collins Glass,Everclear,,,,,,,Wine,Orange Juice,Kool-aid,,,,,,Add all ingredients to large bowl. Stir gently. Serve chilled.,"Berry Deadly: A fruity cocktail made with raspberry vodka, blue curaçao, and lemonade.",ml,1136,ml,500,ml,2273,ml,4546,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Between The Sheets,Http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Cocktail Glass,Brandy,,,,,,,Light Rum,Triple Sec,Lemon Juice,,,,,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","Between The Sheets: A strong cocktail made with brandy, rum, triple sec, and lemon juice.",ml,30,ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bible Belt,Http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Highball Glass,Southern Comfort,,,,,,,Triple Sec,Lime,Sour Mix,,,,,,"Mix all ingredients, and pour over ice.","Bible Belt: A spicy cocktail made with bourbon, lemon juice, honey syrup, and ginger beer.",ml,60,ml,15,wedges , 2,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Big Red,Http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot Glass,Irish Cream,,,,,,,Goldschlager,,,,,,,,Pour ingredients into 1 ounce shot glass,"Big Red: A creamy, cinnamon-flavored cocktail made with Big Red soda and rum.",ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Black & Tan,Http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint Glass,Ale,,,,,,,Guinness Stout,,,,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,Black & Tan: A layered beer cocktail made with a dark beer and a pale beer.,part, 1,part, 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Black Forest Shake,Http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,Ice,,,,,,,Chocolate Syrup,Cherry Brandy,Vodka,Milk,,,,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.","Black Forest Shake: A dessert-like cocktail made with chocolate ice cream, kirsch, and cream.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Black Russian,Http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Old-fashioned Glass,Coffee Liqueur,,,,,,,Vodka,,,,,,,,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,Black Russian: A classic cocktail made with vodka and coffee liqueur.,ml,22.5,ml,45,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Black And Brown,Http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Beer Pilsner,Guinness Stout,,,,,,,Root Beer,,,,,,,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,Black and Brown: A simple cocktail made with stout beer and cola.,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Blackthorn,Http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Sloe Gin,Lemon Peel,,,,,,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"Blackthorn: A sophisticated cocktail made with Irish whiskey, sweet vermouth, and sloe gin.",ml,30,ml,45,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bleeding Surgeon,Http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Collins Glass,Dark Rum,,,,,,,Orange,Surge,Cranberry Juice,,,,,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.","Bleeding Surgeon: A spooky Halloween cocktail made with vodka, raspberry liqueur, and grenadine.",ml,30,slice , 1,ml,150,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Blind Russian,Http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins Glass,Bailey's Irish Cream,,,,,,,Godiva Liqueur,Kahlua,Butterscotch Schnapps,Milk,,,,,Fill glass with ice. Add all liquers. Add milk. shake.,Blind Russian: A stronger version of the Black Russian made with vodka and overproof rum.,ml,22.5,ml,22.5,ml,22.5,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bloody Maria,Http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned Glass,Tequila,,,,,,,Tomato Juice,Lemon Juice,Tabasco Sauce,Celery Salt,Lemon,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,Bloody Maria: A spicy twist on the classic Bloody Mary made with tequila instead of vodka.,ml,30,ml,60,ml,1,ml,1,ml,1,slice , 1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bloody Mary,Http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned Glass,Vodka,,,,,,,Tomato Juice,Lemon Juice,Worcestershire Sauce,Tabasco Sauce,Lime,,,,"Stirring gently, pour all ingredients into highball glass. Garnish.","Bloody Mary: A classic brunch cocktail made with vodka, tomato juice, and various spices.",ml,45,ml,90,ml,1,ml,2.5,ml,3,wedge , 1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Blue Lagoon,Http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball Glass,Vodka,,,,,,,Blue Curacao,Lemonade,Cherry,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.","Blue Lagoon: A tropical cocktail made with blue curaçao, vodka, and lemonade.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Blue Margarita,Http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail Glass,Tequila,,,,,,,Blue Curacao,Lime Juice,Salt,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Blue Margarita: A blue version of the classic margarita made with blue curaçao.,ml,45,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Blue Mountain,Http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned Glass,Añejo Rum,,,,,,,Tia Maria,Vodka,Orange Juice,Lemon Juice,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.","Blue Mountain: A Jamaican cocktail made with coffee liqueur, white rum, and Tia Maria.",ml,45,ml,15,ml,15,ml,30,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bluebird,Http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail Glass,Gin,,,,,,,Triple Sec,Blue Curacao,Bitters,Maraschino Cherry,Lemon Peel,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Bluebird: A refreshing cocktail made with gin, blue curaçao, and lemon juice.",ml,45,ml,15,ml,15,ml,2,, ,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bob Marley,Http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot Glass,Midori Melon Liqueur,,,,,,,Jägermeister,Goldschlager,,,,,,,Layer in a 2 oz shot glass or pony glass,"Bob Marley: A layered cocktail made with strawberry liqueur, banana liqueur, and melon liqueur.",ml,15,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bobby Burns Cocktail,Http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Scotch,Benedictine,Lemon Peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"Bobby Burns Cocktail: A classic Scottish cocktail made with Scotch whiskey, sweet vermouth, and Benedictine.",ml,45,ml,45,ml,6.25,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Boomerang,Http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Bitters,Maraschino Liqueur,Maraschino Cherry,,,,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","Boomerang: A citrusy cocktail made with gin, orange juice, and sweet vermouth.",ml,60,ml,15,ml,2,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Boozy Snickers Milkshake,Http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason Jar,Vanilla Ice-cream,,,,,,,Milk,Godiva Liqueur,Whipped Cream,Caramel Sauce,Chocolate Sauce,Mini-snickers Bars,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.","Boozy Snickers Milkshake: A dessert-like cocktail made with Snickers bars, ice cream, and bourbon.",ml,720,ml,240,ml,120,, ,ml,60,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, 
