Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Banana Strawberry Shake Daiquiri-type,Http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,Strawberries,,,,,,,Banana,Apple Juice,,,,,,,Blend all together in a blender until smooth.,1/2 lb frozen ,,,,,,,1 frozen ,2 cups fresh ,,,,,,,"Banana Strawberry Shake Daiquiri-type: A blended cocktail made with rum, bananas, strawberries, and ice."
Barracuda,Http://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Margarita Glass,Rum,,,,,,,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",4.5 cl,,,,,,,1.5 cl,6 cl, 1 dash,top up ,,,,,"Barracuda: A sweet, tropical cocktail made with dark rum, Galliano, pineapple juice, and lime juice."
Belgian Blue,Http://www.thecocktaildb.com/images/media/drink/rttsxw1441245419.jpg,Highball Glass,Vodka,,,,,,,Coconut Liqueur,Blue Curacao,Sprite,,,,,,Just pour all ingredients in the glass and stir...,2 cl ,,,,,,,1 cl ,1 cl ,Fill with ,,,,,,"Belgian Blue: A blue cocktail made with blue curaçao, gin, and orange juice."
Bellini,Http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne Flute,Champagne,,,,,,,Peach Schnapps,,,,,,,,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",6 oz ,,,,,,,1 oz ,,,,,,,,Bellini: A classic Italian cocktail made with Prosecco and peach puree.
Bellini Martini,Http://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg,Cocktail Glass,Ice,,,,,,,Vodka,Peach Nectar,Peach Schnapps,Lemon Peel,,,,,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",8 cubes ,,,,,,,3 oz ,1.5 oz ,1.5 oz ,1 ,,,,,"Bellini Martini: A modern twist on the classic Bellini made with vodka, peach schnapps, and Prosecco."
Bermuda Highball,Http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Highball Glass,Brandy,,,,,,,Gin,Dry Vermouth,Carbonated Water,Lemon Peel,,,,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,,,,,,,"Bermuda Highball: A refreshing drink made with rum, ginger beer, and lime juice."
Berry Deadly,Http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg,Collins Glass,Everclear,,,,,,,Wine,Orange Juice,Kool-aid,,,,,,Add all ingredients to large bowl. Stir gently. Serve chilled.,2 pint ,,,,,,,1 bottle Boone Strawberry Hill ,1/2 gal ,1 gal Tropical Berry ,,,,,,"Berry Deadly: A fruity cocktail made with raspberry vodka, blue curaçao, and lemonade."
Between The Sheets,Http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Cocktail Glass,Brandy,,,,,,,Light Rum,Triple Sec,Lemon Juice,,,,,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",1 oz ,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,"Between The Sheets: A strong cocktail made with brandy, rum, triple sec, and lemon juice."
Bible Belt,Http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Highball Glass,Southern Comfort,,,,,,,Triple Sec,Lime,Sour Mix,,,,,,"Mix all ingredients, and pour over ice.",2 oz ,,,,,,,1/2 oz ,2 wedges ,2 oz ,,,,,,"Bible Belt: A spicy cocktail made with bourbon, lemon juice, honey syrup, and ginger beer."
Big Red,Http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot Glass,Irish Cream,,,,,,,Goldschlager,,,,,,,,Pour ingredients into 1 ounce shot glass,1/2 oz ,,,,,,,1/2 oz ,,,,,,,,"Big Red: A creamy, cinnamon-flavored cocktail made with Big Red soda and rum."
Black & Tan,Http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint Glass,Ale,,,,,,,Guinness Stout,,,,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,1 part Bass pale ,,,,,,,1 part ,,,,,,,,Black & Tan: A layered beer cocktail made with a dark beer and a pale beer.
Black Forest Shake,Http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,Ice,,,,,,,Chocolate Syrup,Cherry Brandy,Vodka,Milk,,,,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."," cubes
",,,,,,,,,,,,,,,"Black Forest Shake: A dessert-like cocktail made with chocolate ice cream, kirsch, and cream."
Black Russian,Http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Old-fashioned Glass,Coffee Liqueur,,,,,,,Vodka,,,,,,,,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,3/4 oz ,,,,,,,1 1/2 oz ,,,,,,,,Black Russian: A classic cocktail made with vodka and coffee liqueur.
Black And Brown,Http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Beer Pilsner,Guinness Stout,,,,,,,Root Beer,,,,,,,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,1/2 ,,,,,,,1/2 ,,,,,,,,Black and Brown: A simple cocktail made with stout beer and cola.
Blackthorn,Http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Sloe Gin,Lemon Peel,,,,,,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 oz ,,,,,,,1 1/2 oz ,1 twist of ,,,,,,,"Blackthorn: A sophisticated cocktail made with Irish whiskey, sweet vermouth, and sloe gin."
Bleeding Surgeon,Http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Collins Glass,Dark Rum,,,,,,,Orange,Surge,Cranberry Juice,,,,,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1 shot ,,,,,,,1 slice ,1/2 glass ,1/2 glass ,,,,,,"Bleeding Surgeon: A spooky Halloween cocktail made with vodka, raspberry liqueur, and grenadine."
Blind Russian,Http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins Glass,Bailey's Irish Cream,,,,,,,Godiva Liqueur,Kahlua,Butterscotch Schnapps,Milk,,,,,Fill glass with ice. Add all liquers. Add milk. shake.,3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,1/2 oz ," to fill
",,,,,Blind Russian: A stronger version of the Black Russian made with vodka and overproof rum.
Bloody Maria,Http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned Glass,Tequila,,,,,,,Tomato Juice,Lemon Juice,Tabasco Sauce,Celery Salt,Lemon,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 oz ,,,,,,,2 oz ,1 dash ,1 dash ,1 dash ,1 slice ,,,,Bloody Maria: A spicy twist on the classic Bloody Mary made with tequila instead of vodka.
Bloody Mary,Http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned Glass,Vodka,,,,,,,Tomato Juice,Lemon Juice,Worcestershire Sauce,Tabasco Sauce,Lime,,,,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 1/2 oz ,,,,,,,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,"Bloody Mary: A classic brunch cocktail made with vodka, tomato juice, and various spices."
Blue Lagoon,Http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball Glass,Vodka,,,,,,,Blue Curacao,Lemonade,Cherry,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",1 oz ,,,,,,,1 oz ,,,,,,,,"Blue Lagoon: A tropical cocktail made with blue curaçao, vodka, and lemonade."
Blue Margarita,Http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail Glass,Tequila,,,,,,,Blue Curacao,Lime Juice,Salt,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",1 1/2 oz ,,,,,,,1 oz ,1 oz ,Coarse ,,,,,,Blue Margarita: A blue version of the classic margarita made with blue curaçao.
Blue Mountain,Http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned Glass,Añejo Rum,,,,,,,Tia Maria,Vodka,Orange Juice,Lemon Juice,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1 oz ,1 tsp ,,,,,"Blue Mountain: A Jamaican cocktail made with coffee liqueur, white rum, and Tia Maria."
Bluebird,Http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail Glass,Gin,,,,,,,Triple Sec,Blue Curacao,Bitters,Maraschino Cherry,Lemon Peel,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,"Bluebird: A refreshing cocktail made with gin, blue curaçao, and lemon juice."
Bob Marley,Http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot Glass,Midori Melon Liqueur,,,,,,,Jägermeister,Goldschlager,,,,,,,Layer in a 2 oz shot glass or pony glass,1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,,,,,,,"Bob Marley: A layered cocktail made with strawberry liqueur, banana liqueur, and melon liqueur."
Bobby Burns Cocktail,Http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Scotch,Benedictine,Lemon Peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz ,,,,,,,1 1/2 oz ,1 1/4 tsp ,1 twist of ,,,,,,"Bobby Burns Cocktail: A classic Scottish cocktail made with Scotch whiskey, sweet vermouth, and Benedictine."
Boomerang,Http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Bitters,Maraschino Liqueur,Maraschino Cherry,,,,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",2 oz ,,,,,,,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,"Boomerang: A citrusy cocktail made with gin, orange juice, and sweet vermouth."
Boozy Snickers Milkshake,Http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason Jar,Vanilla Ice-cream,,,,,,,Milk,Godiva Liqueur,Whipped Cream,Caramel Sauce,Chocolate Sauce,Mini-snickers Bars,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",3 cups ,,,,,,,1 cup ,1/2 cup ,for topping,"4 tablespoons
","4 tablespoons
","15
",,,"Boozy Snickers Milkshake: A dessert-like cocktail made with Snickers bars, ice cream, and bourbon."
Bora Bora,Http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball Glass,Pineapple Juice,,,,,,,Passion Fruit Juice,Lemon Juice,Grenadine,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",10 cl ,,,,,,,6 cl ,1 cl ,1 cl ,,,,,,"Bora Bora: A tropical cocktail made with rum, pineapple juice, and orange juice."
Boston Sidecar,Http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail Glass,Light Rum,,,,,,,Brandy,Triple Sec,Lime,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/2 ,,,,,,Boston Sidecar: A twist on the classic Sidecar made with rum instead of brandy.
Boston Sour,Http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey Sour Glass,Blended Whiskey,,,,,,,Lemon,Powdered Sugar,Egg White,Lemon,Cherry,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",2 oz ,,,,,,,Juice of 1/2 ,1 tsp ,1 ,1 slice ,1 ,,,,Boston Sour: A whiskey sour with a red wine float on top.
Bourbon Sling,Http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball Glass,Sugar,,,,,,,Water,Lemon Juice,Bourbon,Lemon Peel,,,,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",1 tsp superfine ,,,,,,,2 tsp ,1 oz ,2 oz ,1 twist of ,,,,,"Bourbon Sling: A refreshing cocktail made with bourbon, lemon juice, and simple syrup."
Bourbon Sour,Http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey Sour Glass,Bourbon,,,,,,,Lemon Juice,Sugar,Orange,Maraschino Cherry,,,,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",2 oz ,,,,,,,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,Bourbon Sour: A classic sour made with bourbon instead of whiskey.
Boxcar,Http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey Sour Glass,Gin,,,,,,,Triple Sec,Lemon Juice,Grenadine,Egg White,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",1 1/2 oz ,,,,,,,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,Boxcar: A simple and straightforward cocktail made with bourbon and lemon juice.
Brain Fart,Http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch Bowl,Everclear,,,,,,,Vodka,Mountain Dew,Surge,Lemon Juice,Rum,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,1 fifth ,,,,,,,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,"Brain Fart: A whimsically named cocktail made with vodka, peach schnapps, cranberry juice, and orange juice."
Brainteaser,Http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,Sambuca,,,,,,,Erin Cream,Advocaat,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",30 ml white ,,,,,,,30 ml ,5 ml ,,,,,,,"Brainteaser: A fruity and tangy cocktail made with gin, orange juice, cranberry juice, and grenadine."
Bramble,Http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-fashioned Glass,Gin,,,,,,,Lemon Juice,Sugar Syrup,Creme De Mure,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",4 cl,,,,,,,1.5 cl,1 cl,1.5 cl,,,,,,"Bramble: A refreshing and fruity cocktail made with gin, blackberry liqueur, lemon juice, and simple syrup."
Brandon And Will's Coke Float,Http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer Mug,Vanilla Ice-cream,,,,,,,Coca-cola,Bourbon,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",2 scoops ,,,,,,,1 can ,2 oz ,,,,,,,"Brandon and Will's Coke Float: A nostalgic and indulgent cocktail made with cola, vanilla vodka, and vanilla ice cream."
Brandy Alexander,Http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail Glass,Brandy,,,,,,,Creme De Cacao,Light Cream,Nutmeg,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1 oz ,,,,,,,1 oz white ,1 oz ,,,,,,,"Brandy Alexander: A creamy and smooth cocktail made with brandy, creme de cacao, and cream."
Brandy Cobbler,Http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned Glass,Sugar,,,,,,,Club Soda,Lemon,Brandy,Maraschino Cherry,Orange,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",1 tsp superfine ,,,,,,,3 oz ,1 ,2 oz ,1 ,1 ,,,,"Brandy Cobbler: A classic cocktail made with brandy, sugar, fresh fruit, and crushed ice."
Brandy Flip,Http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey Sour Glass,Brandy,,,,,,,Egg,Sugar,Light Cream,Nutmeg,,,,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",2 oz ,,,,,,,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated ,,,,,"Brandy Flip: A rich and warming cocktail made with brandy, egg yolk, sugar, and nutmeg."
Brandy Sour,Http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey Sour Glass,Brandy,,,,,,,Lemon,Powdered Sugar,Lemon,Cherry,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",2 oz ,,,,,,,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 ,,,,,"Brandy Sour: A simple and tangy cocktail made with brandy, lemon juice, and sugar syrup."
Brave Bull Shooter,Http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot Glass,Tequila,,,,,,,Tabasco Sauce,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.,1/2 oz ,,,,,,,1/2 oz ,,,,,,,,Brave Bull Shooter: A bold and potent shooter made with tequila and coffee liqueur.
Bruce's Puce,Http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot Glass,Grenadine,,,,,,,Kahlua,Bailey's Irish Cream,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)",,,,,,,,,,,,,,,,"Bruce's Puce: A whimsically named cocktail made with peach schnapps, orange juice, and cranberry juice."
Bruised Heart,Http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot Glass,Vodka,,,,,,,Chambord Raspberry Liqueur,Peachtree Schnapps,Cranberry Juice,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,"Bruised Heart: A bittersweet and complex cocktail made with gin, vermouth, maraschino liqueur, and orange bitters."
Bubble Gum,Http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot Glass,Vodka,,,,,,,Banana Liqueur,Orange Juice,Peach Schnapps,,,,,,Layer in order into a shot glass.,1/4 ,,,,,,,1/4 ,1/4 ,1/4 ,,,,,,"Bubble Gum: A fun and sweet cocktail made with bubble gum-flavored vodka, cranberry juice, and lemon-lime soda."
Buccaneer,Http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer Pilsner,Corona,,,,,,,Bacardi Limon,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,1 ,,,,,,,1 shot ,,,,,,,,"Buccaneer: A tropical and fruity cocktail made with dark rum, orange juice, pineapple juice, and grenadine."
Bumble Bee #1,Http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot Glass,Bailey's Irish Cream,,,,,,,Kahlua,Sambuca,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",1/3 oz ,,,,,,,1/3 oz ,1/3 oz ,,,,,,,"Bumble Bee #1: A vibrant and sweet cocktail made with rum, coffee liqueur, honey, and cream."
Butter Baby,Http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer Mug,Vanilla Ice-cream,,,,,,,Butterscotch Schnapps,Milk,Vodka,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,2 scoops ,,,,,,,1 part ,full glass ,2 parts ,,,,,,Butter Baby: A creamy and indulgent cocktail with a smooth buttery flavor.
Cafe Savoy,Http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee Mug,Coffee,,,,,,,Milk,Triple Sec,Brandy,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",,,,,,,,1/2 oz ,1/2 oz ,,,,,,,Cafe Savoy: A sophisticated coffee-based cocktail that blends the richness of coffee with spirits for a delightful pick-me-up.
Caipirinha,Http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned Glass,Sugar,,,,,,,Lime,Cachaca,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,2 tsp,,,,,,,1 ,2 1/2 oz ,,,,,,,"Caipirinha: A refreshing Brazilian cocktail made with cachaça, lime, and sugar, known for its vibrant citrus flavors."
Caipirissima,Http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Lime,,,,,,,Sugar,White Rum,Ice,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,2 ,,,,,,,2 tblsp ,2-3 oz ,crushed ,,,,,,"Caipirissima: Similar to the Caipirinha, but made with rum instead of cachaça, resulting in a slightly different flavor profile."
California Lemonade,Http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins Glass,Blended Whiskey,,,,,,,Lemon,Lime,Powdered Sugar,Grenadine,Carbonated Water,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,2 oz ,,,,,,,Juice of 1 ,Juice of 1 ,1 tblsp ,1/4 tsp ,,,,,"California Lemonade: A sunny and citrusy beverage that combines lemon juice, spirits, and a touch of sweetness for a refreshing sip."
California Root Beer,Http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball Glass,Kahlua,,,,,,,Galliano,Soda Water,,,,,,,Put Kahlua and Galliano in highball glass fill with soda,3/4 oz ,,,,,,,3/4 oz ,Fill with ,,,,,,,"California Root Beer: A delightful twist on the classic root beer float, combining root beer, spirits, and creamy flavors for a nostalgic treat."
Campari Beer,Http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer Mug,Lager,,,,,,,Campari,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.,1 bottle ,,,,,,,1 1/2 cl ,,,,,,,,"Campari Beer: A unique combination of bitter Campari liqueur and beer, resulting in a distinctive and refreshing taste."
Caribbean Boilermaker,Http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer Pilsner,Corona,,,,,,,Light Rum,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,1 bottle ,,,,,,,1 shot ,,,,,,,,"Caribbean Boilermaker: A tropical-inspired twist on the classic boilermaker, combining rum and beer for a Caribbean flair."
Caribbean Orange Liqueur,Http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,Orange,,,,,,,Vodka,Sugar,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",3 large ,,,,,,,3 cups ,1 1/3 cup superfine ,,,,,,,Caribbean Orange Liqueur: A fruity and tropical liqueur that infuses the flavors of the Caribbean with the sweetness of oranges.
Casino,Http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail Glass,Gin,,,,,,,Maraschino Liqueur,Lemon Juice,Orange Bitters,Cherry,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,2 oz ,,,,,,,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,"Casino: A classic cocktail that blends gin, maraschino liqueur, orange bitters, and lemon juice for a balanced and sophisticated drink."
Casino Royale,Http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey Sour Glass,Gin,,,,,,,Lemon Juice,Maraschino Liqueur,Orange Bitters,Egg Yolk,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",2 oz ,,,,,,,1/2 oz ,1 tsp ,1 dash ,1 ,,,,,"Casino Royale: A glamorous and elegant cocktail featuring gin, lemon juice, maraschino liqueur, and orange bitters, inspired by the James Bond novel."
Castillian Hot Chocolate,Http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee Mug,Cocoa Powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",1/2 cup ,,,,,,,1 cup ,7 tsp ,1/2 cup ,1 qt ,,,,,"Castillian Hot Chocolate: A rich and decadent hot chocolate spiked with spices or spirits, providing warmth and indulgence."
Champagne Cocktail,Http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne Flute,Champagne,,,,,,,Sugar,Bitters,Lemon Peel,Cognac,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Chilled ,,,,,,,1 piece ,2 dashes ,1 twist of ,1 dash,,,,,"Champagne Cocktail: A timeless and celebratory cocktail that combines champagne, sugar, and aromatic bitters for an effervescent delight."
